py3-blinker 1.9.0
py3-blosc2 4.7.0
py3-bokeh 3.9.1
py3-boost-histogram 1.7.2
py3-bottleneck 1.6.0
py3-cachecontrol 0.14.4
py3-cachetools 7.1.4
py3-cachy 0.3.0
py3-calver 2025.10.20
py3-certifi 2026.6.17
py3-cffi 2.1.0
py3-chardet 7.4.3
py3-charset-normalizer 3.4.9
py3-choreographer 1.3.0
py3-cleo 2.1.0
py3-click 8.4.2
py3-clikit 0.6.2
py3-cloudpickle 3.1.2
py3-cms-tfaot 1.0.1
py3-cmsml 0.2.7
py3-colorama 0.4.6
py3-colorlover 0.3.0
py3-comm 0.2.3
py3-commonmark 0.9.2
py3-contextlib2 21.6.0
py3-contourpy 1.3.0
py3-correctionlib 2.9.0
py3-coverage 7.15.0
py3-cppy 1.3.1
py3-cramjam 2.11.0
py3-crashtest 0.4.1
py3-cryptography 49.0.0
py3-cx-oracle 8.3.0
py3-cycler 0.12.1
py3-cython 3.2.8
py3-dash-bootstrap-components 2.0.4
py3-dash-svg 0.0.12
py3-dash 4.4.0
py3-dask-awkward 2026.2.1
py3-dask 2026.7.0
py3-debugpy 1.8.21
py3-decorator 5.3.1
py3-defusedxml 0.7.1
py3-deprecated 1.3.1
py3-deprecation 2.1.0
py3-dill 0.4.1
py3-distlib 0.4.3
py3-distro 1.9.0
py3-dnspython 2.8.0
py3-docopt 0.6.2
py3-docutils 0.23
py3-dulwich 1.2.10
py3-dxr 1.0.x
py3-editables 0.6
py3-entrypoints 0.4
py3-exceptiongroup 1.3.1
py3-execnet 2.1.2
py3-executing 2.2.1
py3-fastjsonschema 2.21.2
py3-filelock 3.29.7
py3-findpython 0.8.0
py3-fire 0.7.1
py3-flake8 7.3.0
py3-flask 3.1.3
py3-flatbuffers 25.12.19
py3-flawfinder 2.0.20
py3-flit-core 3.12.0
py3-flit 3.12.0
py3-fonttools 4.63.0
py3-fsspec 2026.6.0
py3-funcsigs 1.0.2
py3-future 1.0.0
py3-gast 0.7.0
py3-gitdb 4.0.12
py3-gitpython 3.1.50
py3-google-auth-oauthlib 1.4.0
py3-google-auth 2.55.2
py3-google-pasta 0.2.0
py3-grpcio-tools 1.60.1
py3-grpcio 1.60.1
py3-h11 0.16.0
py3-h5py 3.13.0
py3-hatch-fancy-pypi-readme 25.1.0
py3-hatch-jupyter-builder 0.9.1
py3-hatch-vcs 0.5.0
py3-hatchling 1.31.0
py3-hepdata-lib 0.21.0
py3-hepdata-validator 0.3.6
py3-hist 2.10.1
py3-histogrammar 1.1.2
py3-histoprint 2.6.0
py3-httpcore 1.0.9
py3-httpx 0.28.1
py3-idna 3.18
py3-iminuit 2.32.0
py3-importlib-metadata 9.0.0
py3-importlib-resources 7.1.0
py3-iniconfig 2.3.0
py3-ipaddress 1.0.23
py3-ipykernel 7.3.0
py3-ipython-pygments-lexers 1.1.1
py3-ipython 9.15.0
py3-ipython_genutils 0.2.0
py3-ipywidgets 8.1.8
py3-isort 8.0.1
py3-itsdangerous 2.2.0
py3-janus 2.0.0
py3-jaraco-classes 3.4.0
py3-jaraco-context 6.1.2
py3-jaraco-functools 4.5.0
py3-jax 0.9.0.1
py3-jaxlib 0.9.0.1
py3-jedi 0.20.0
py3-jeepney 0.9.0
py3-jinja2 3.1.6
py3-joblib 1.5.3
py3-json5 0.15.0
py3-jsonpickle 4.1.2
py3-jsonschema-specifications 2025.9.1
py3-jsonschema 4.26.0
py3-jupyter-builder 1.0.2
py3-jupyter-client 8.9.1
py3-jupyter-console 6.6.3
py3-jupyter-core 5.9.1
py3-jupyter-events 0.12.1
py3-jupyter-lsp 2.3.1
py3-jupyter-packaging 0.12.3
py3-jupyter-server-terminals 0.5.4
py3-jupyter-server 2.20.0
py3-jupyterlab-pygments 0.2.2
py3-jupyterlab-server 2.28.0
py3-jupyterlab-widgets 3.0.16
py3-jupyterlab 4.6.1
py3-kaleido 1.3.0
py3-keras-applications 1.0.8
py3-keras-preprocessing 1.1.2
py3-keras 3.15.0
py3-keras2onnx 1.7.0
py3-keyring 25.7.0
py3-kiwisolver 1.5.0
py3-law 0.1.20
py3-lazy-object-proxy 1.12.0
py3-lit 18.1.8
py3-lizard 1.23.0
py3-locket 1.0.0
py3-lockfile 0.12.2
py3-logistro 2.0.1
py3-luigi 3.8.1
py3-lxml 6.1.1
py3-lz4 4.4.5
py3-mako 1.3.12
py3-markdown-it-py 4.2.0
py3-markdown 3.10.2
py3-markupsafe 3.0.3
py3-matplotlib-inline 0.2.2
py3-matplotlib 3.11.0
py3-mccabe 0.7.0
py3-mdit-py-plugins 0.6.1
py3-mdurl 0.1.2
py3-meson-python 0.20.0
py3-meson 1.11.1
py3-mistune 3.3.3
py3-ml_dtypes 0.5.4
py3-mock 5.2.0
py3-more-itertools 11.1.0
py3-mplhep-data 0.1.0
py3-mplhep 1.3.1
py3-mpmath 1.4.1
py3-msgpack 1.2.1
py3-multidict 6.7.1
py3-namex 0.1.0
py3-narwhals 2.23.0
py3-nbclient 0.11.0
py3-nbconvert 7.17.1
py3-nbformat 5.10.4
py3-ndindex 1.10.1
py3-nest-asyncio 1.6.0
py3-nest-asyncio2 1.7.2
py3-networkx 3.6.1
py3-notebook-shim 0.2.4
py3-notebook 7.6.0
py3-numexpr 2.14.1
py3-numpy 1.26.4
py3-nvidia-ml-py 13.610.43
py3-oauthlib 3.3.1
py3-onnx 1.22.0
py3-onnxconverter-common 1.16.0
py3-onnxmltools 1.16.0
py3-opt-einsum 3.4.0
py3-optree 0.19.1
py3-orjson 3.11.5
py3-overrides 7.7.0
py3-packaging 26.2
py3-pandas 3.0.3
py3-pandocfilters 1.5.1
py3-parsimonious 0.11.0
py3-parso 0.8.7
py3-partd 1.4.2
py3-pastel 0.2.1
py3-pathlib2 2.3.7.post1
py3-pathspec 1.1.1
py3-pbr 7.0.3
py3-pbs-installer 2026.6.10
py3-pdm-backend 2.4.9
py3-pexpect 4.9.0
py3-pickleshare 0.7.5
py3-pillow 12.3.0
py3-pip 26.1.2
py3-pkgconfig 1.6.0
py3-pkginfo 1.12.1.2
py3-plac 1.4.5
py3-platformdirs 4.10.0
py3-plotext 5.3.2
py3-plotille 6.0.5
py3-plotly 6.8.0
